contract_address,name,base_asset_id,base_asset_name,base_asset_symbol,base_asset_contract_address,quote_asset_id,quote_asset_name,quote_asset_symbol,quote_asset_contract_address,dex_id,dex_slug,network_id,network_slug,last_updated,created_at,price,volume_24h,percent_change_price_1h,percent_change_price_24h,liquidity,fully_diluted_value
DP1tF9JF585MoeWr2bgrSuVcBCbpcQCi9sjiRqX6cLyh,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T08:17:36.657Z,2024-12-17T13:53:40.000Z,0.030982789157560767,20284.547608030476,-0.0230935262,0.1506276622,2291.385862503876,2754024131.286011
7oQm53VgSnbqyBDy6iHNyj6suATChCGr7drTmuLXXCjo,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T07:59:19.600Z,2024-12-17T12:46:40.000Z,0.031172809571559813,18384.184605926308,-0.0262219965,0.1334196968,9428.651359325433,2770914825.113769
6FJ1XNK5aJ4katjagM3gwuYH4NwfLaaYPmsSG2A436Ls,PENGU/USDT,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344279,USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9882,meteora-vd,16,Solana,2024-12-21T07:39:14.308Z,2024-12-17T13:00:31.000Z,0.0315908884620869,17713.904860588646,0.0,0.1661541634,36199.81476569979,2808077371.9534845
2kDWKSwzoez4zQnXU49M8Ghm331CKkfPKxTEYS2ww7F4,PENGU/M3M3,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,32370541,M3M3,M3M3,M3M3pSFptfpZYnWNUgAbyWzKKgPo5d1eWmX6tbiSF2K,9882,meteora-vd,16,Solana,2024-12-21T08:11:39.230Z,2024-12-20T02:23:11.000Z,0.030942165272734978,17700.681091941155,-0.031471517,0.1086490753,13939.78705040991,2750413121.3621516
F1sGye6uig8Qwbk4oNGXt67HW9yPqTbJeSZSSaHNCFYE,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T08:06:49.000Z,2024-12-17T13:00:30.000Z,0.03115435451175065,15853.540922161133,-0.0159866081,0.1333185347,15271.822020731175,2769274376.289091
GKCNtTLsU9Sh9bqY14wPpV3osDkbXs2PJ5KPBvQT8GBm,PENGU/SEAL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,32998789,SEAL,SEAL,Ho6wN4ff7RdTdXE1UsCZjrjuFVMHyRFTv1oBdbSECnJS,9882,meteora-vd,16,Solana,2024-12-21T08:16:29.203Z,2024-12-17T13:47:21.000Z,0.03093016366136357,14640.558717576087,-0.024508835,0.1503086548,12856.683825269476,2749346312.0712547
51oAuxh5R9hZRxhrd98nmPLnXUVbh7L8sC4GFWwYtZif,PENGU/USDT,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344279,USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,10557,raydium-clmm,16,Solana,2024-12-21T07:53:14.188Z,2024-12-18T10:02:01.000Z,0.030729205883176184,11727.966356505778,-0.0465771599,0.1206334121,7875.68869642348,2731483408.6482224
6Q5VVRLrZiho3MUYTEnx2iAJJo6nq72fizNZmPACS72j,PENGU/USDT,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344279,USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9882,meteora-vd,16,Solana,2024-12-21T08:15:30.400Z,2024-12-17T13:06:51.000Z,0.031028631647348308,10951.214368075433,-0.0196684616,0.1432450391,14366.290946080548,2758099016.9417562
W57hgHMeMLV97e5svYzHQDamHoXGD9WrD8RBscqTZL8,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T07:39:14.315Z,2024-12-17T12:46:23.000Z,0.031914744051960806,10797.899126462322,0.0,0.1675659992,109732.51461338683,2836864519.070191
F1JAzp5yopzBt9uM8nzBePc86oBHgJLq6yk2PRNQxVst,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T08:14:36.000Z,2024-12-17T13:01:01.000Z,0.03088412865747281,10785.667318510592,-0.0265942554,0.1270353567,1652.951917062893,2745254314.0605445
